Page,post_id,Pageviews
/entertainment/6-of-the-worst-james-bond-movie-theme-songs.html/?a=viewall,577168,137
/entertainment/6-of-the-worst-tv-shows-of-the-1970s.html/?a=viewall,579210,137
/entertainment/6-of-tvs-most-infamous-jump-the-shark-moments.html/?a=viewall,560304,137
/entertainment/6-reasons-why-you-should-be-playing-amplitude.html/?a=viewall,593446,137
/entertainment/6-star-wars-characters-who-deserve-a-spinoff-movie.html/,593693,137
/entertainment/6-star-wars-characters-who-deserve-a-spinoff-movie.html/?a=viewall,593693,137
/entertainment/6-star-wars-characters-who-deserve-a-spinoff-movie.html/2/,593693,137
/entertainment/6-star-wars-characters-who-deserve-a-spinoff-movie.html/3/,593693,137
/entertainment/6-star-wars-characters-who-deserve-a-spinoff-movie.html/4/,593693,137
/entertainment/6-star-wars-characters-who-deserve-a-spinoff-movie.html/5/,593693,137
/entertainment/6-star-wars-characters-who-deserve-a-spinoff-movie.html/6/,593693,137
/entertainment/6-stars-who-scared-their-way-to-the-top.html/?a=viewall,487314,137
/entertainment/6-steve-carell-roles-that-prove-he-can-do-more-than-comedy.html/?a=viewall,496143,137
/entertainment/7-acting-revivals-starting-with-matthew-mcconaughey.html/?a=viewall,453330,137
/entertainment/7-batman-films-that-didnt-make-the-cut.html/,425423,137
/entertainment/7-books-similar-to-your-ya-favorites.html/?a=viewall,507498,137
/entertainment/7-exceptional-movies-with-must-see-improvised-scenes.html/?a=viewall,476066,137
/entertainment/7-great-soccer-themed-films-to-check-out-before-the-world-cup.html/?a=viewall,461549,137
/entertainment/7-joaquin-phoenix-performances-loved-by-the-critics.html/?a=viewall,507862,137
/entertainment/7-movies-about-american-workers-to-keep-the-labor-day-spirit.html/?a=viewall,480366,137
/entertainment/7-movies-that-ruined-actors-careers.html/,562308,137
/entertainment/7-new-tv-shows-that-definitely-arent-getting-the-axe.html/?ref=YF,601169,137
/entertainment/7-new-tv-shows-that-definitely-arent-getting-the-axe.html/2/,601169,137
/entertainment/7-new-tv-shows-that-definitely-arent-getting-the-axe.html/5/,601169,137
/entertainment/7-new-tv-shows-that-definitely-arent-getting-the-axe.html/6/,601169,137
/entertainment/7-new-tv-shows-that-definitely-arent-getting-the-axe.html/7/,601169,137
/entertainment/7-of-the-best-true-crime-documentaries-to-watch.html/,511765,137
/entertainment/7-of-the-best-true-crime-documentaries-to-watch.html/4/,511765,137
/entertainment/7-of-the-best-true-crime-documentaries-to-watch.html/6/,511765,137
/entertainment/7-of-the-worst-songs-of-the-1990s.html/?a=viewall,602378,137
/entertainment/7-rappers-for-people-who-dont-like-rap-music.html/?a=viewall,596478,137
/entertainment/7-things-future-star-wars-films-should-just-ignore.html/2/,557990,137
/entertainment/7-things-future-star-wars-films-should-just-ignore.html/4/,557990,137
/entertainment/7-things-future-star-wars-films-should-just-ignore.html/5/,557990,137
/entertainment/7-things-future-star-wars-films-should-just-ignore.html/6/,557990,137
/entertainment/7-things-the-star-wars-prequel-trilogy-actually-did-right.html/7/,562145,137
/entertainment/7-true-crime-documentaries-to-stream-on-netflix.html/,520937,137
/entertainment/8-authors-who-produced-literary-one-hit-wonders.html/?a=viewall,469827,137
/entertainment/8-best-bands-and-musicians-from-the-1990s.html/?a=viewall,598678,137
/entertainment/8-most-demanding-hollywood-stars.html/?ref=YN,462991,137
/entertainment/8-movies-that-changed-the-way-we-think-of-zombies.html/?a=viewall,601454,137
/entertainment/8-new-tv-shows-that-may-soon-be-coming-to-cbs.html/?a=viewall,600624,137
/entertainment/8-of-the-most-addictive-video-games-of-2015.html/?a=viewall,605620,137
/entertainment/8-tv-shows-that-have-been-un-canceled.html/2/,462100,137
/entertainment/8-tv-shows-that-worked-in-real-life-pregnancies.html/?a=viewall,477318,137
/entertainment/9-awful-film-adaptations-of-great-books.html/?ref=YN,460829,137
/entertainment/9-awful-film-adaptations-of-great-books.html/2/,460829,137
/entertainment/9-awful-film-adaptations-of-great-books.html/3/,460829,137
/entertainment/9-awful-film-adaptations-of-great-books.html/4/,460829,137
/entertainment/9-awful-film-adaptations-of-great-books.html/5/,460829,137
/entertainment/9-awful-film-adaptations-of-great-books.html/6/,460829,137
/entertainment/9-awful-film-adaptations-of-great-books.html/8/,460829,137
/entertainment/9-awful-film-adaptations-of-great-books.html/9/,460829,137
/entertainment/9-films-that-inspired-christopher-nolans-interstellar.html/?a=viewall,495079,137
/entertainment/9-great-musician-cameos-in-movies.html/?a=viewall,514283,137
/entertainment/9-major-game-of-thrones-deaths-and-where-the-actors-go-from-here.html/?a=viewall,465113,137
/entertainment/9-old-movies-that-were-disturbing-without-any-blood-or-gore.html/?a=viewall,556204,137
/entertainment/9-outdoorsy-movies-that-challenge-the-wild.html/?a=viewall,500194,137
/entertainment/9-true-stories-headed-to-the-big-screen-in-2015.html/?ref=YN,503976,137
/entertainment/9-tv-dramas-you-do-not-want-to-miss-in-2015.html/?a=viewall,553213,137
/entertainment/after-24′-whats-next-for-kiefer-sutherland.html/?a=viewall,589156,137
/entertainment/american-crime-5-reasons-to-watch-this-drama-series.html/?a=viewall,599574,137
/entertainment/aquaman-jason-momoa-netflixs-latest-star.html/?a=viewall,580353,137
/entertainment/arrow-how-a-death-set-season-4-up-for-failure.html/?ref=YF&ref=yfp,587420,137
/entertainment/batman-v-superman-dawn-of-justice-spoilers-from-the-new-trailer.html/3/,584973,137
/entertainment/batman-v-superman-dawn-of-justice-spoilers-from-the-new-trailer.html/4/,584973,137
/entertainment/batman-v-superman-dawn-of-justice-spoilers-from-the-new-trailer.html/6/,584973,137
/entertainment/batman-v-superman-dawn-of-justice-spoilers-from-the-new-trailer.html/7/,584973,137
/entertainment/batman-v-superman-has-the-villain-finally-been-revealed.html/,599462,137
/entertainment/batman-v-superman-will-ben-affleck-be-the-best-batman-yet.html/?ref=YF,580921,137
/entertainment/batmans-one-rule-how-its-important-for-all-heroes.html/?ref=YF,558262,137
/entertainment/before-entourage-the-5-best-movies-about-life-in-hollywood.html/?a=viewall,541980,137
/entertainment/before-joy-5-of-david-o-russells-best-movies.html/?a=viewall,590958,137
/entertainment/before-pitch-perfect-2′-anna-kendricks-6-best-movie-roles.html/?a=viewall,538193,137
/entertainment/big-bang-theory-to-undergo-big-plot-change-in-season-8.html/?a=viewall,472317,137
/entertainment/can-witches-of-east-end-book-spin-off-give-fans-closure.html/?a=viewall,494667,137
/entertainment/captain-america-civil-war-3-superheroes-who-could-die.html/?ref=YF&ref=yfp&tpl=op,597770,137
/entertainment/captain-america-civil-war-3-superheroes-who-could-die.html/2/,597770,137
/entertainment/captain-america-civil-war-3-superheroes-who-could-die.html/3/,597770,137
/entertainment/captain-america-civil-war-here-are-the-two-superhero-teams.html/?ref=YF&ref=yfp,558850,137
/entertainment/captain-america-civil-war-is-an-avengers-sequel-in-disguise.html/?a=viewall,533568,137
/entertainment/critics-every-movie-that-came-out-this-weekend-was-terrible.html/?a=viewall,458742,137
/entertainment/daredevil-whats-coming-next-in-season-2.html/,578937,137
/entertainment/daredevil-whats-coming-next-in-season-2.html/2/,578937,137
/entertainment/daredevil-whats-coming-next-in-season-2.html/4/,578937,137
/entertainment/dcs-suicide-squad-trailer-unlike-anything-weve-ever-seen.html/?a=viewall,597353,137
/entertainment/die-hard-is-getting-a-prequel-and-it-sounds-terrible.html/,571097,137
/entertainment/disney-sequel-enchanted-2′-to-bring-fans-new-happily-ever-after.html/?a=viewall,466795,137
/entertainment/do-you-have-what-it-takes-to-become-an-e-sports-pro.html/?a=viewall,545374,137
/entertainment/entertainment-101-the-beat-generation.html/?a=viewall,510436,137
/entertainment/fallout-4′-advanced-cheats-tips-and-tricks.html/?a=viewall,579782,137
/entertainment/fear-the-walking-dead-whats-coming-next-in-season-2.html/?ref=YF,569889,137
/entertainment/fear-the-walking-dead-whats-coming-next-in-season-2.html/2/,569889,137
/entertainment/fear-the-walking-dead-whats-coming-next-in-season-2.html/3/,569889,137
/entertainment/fear-the-walking-dead-whats-coming-next-in-season-2.html/5/,569889,137
/entertainment/films-school-of-rock-7-great-rockumentaries.html/,451347,137
/entertainment/films-school-of-rock-7-great-rockumentaries.html/2/,451347,137
/entertainment/films-school-of-rock-7-great-rockumentaries.html/3/,451347,137
/entertainment/firefly-could-now-be-the-perfect-time-for-a-new-season.html/?a=viewall,570969,137
/entertainment/from-gotham-to-the-flash-ranking-superhero-tv-shows.html/,569218,137
/entertainment/from-gotham-to-the-flash-ranking-superhero-tv-shows.html/4/,569218,137
/entertainment/from-gotham-to-the-flash-ranking-superhero-tv-shows.html/5/,569218,137
/entertainment/from-gotham-to-the-flash-ranking-superhero-tv-shows.html/6/,569218,137
/entertainment/from-super-8-to-star-wars-j-j-abramss-movies-ranked.html/,594528,137
/entertainment/from-super-8-to-star-wars-j-j-abramss-movies-ranked.html/2/,594528,137
/entertainment/frozen-is-the-highest-grossing-animated-film-ever-but-will-pixar-fix-that.html/?a=viewall,455801,137
/entertainment/game-of-thrones-everything-we-learned-from-the-new-images.html/2/,603840,137
/entertainment/game-of-thrones-everything-we-learned-from-the-new-images.html/3/,603840,137
/entertainment/game-of-thrones-everything-we-learned-from-the-new-images.html/4/,603840,137
/entertainment/game-of-thrones-everything-we-learned-from-the-new-images.html/5/,603840,137
/entertainment/game-of-thrones-everything-we-learned-from-the-new-images.html/6/,603840,137
/entertainment/game-of-thrones-everything-we-learned-from-the-new-images.html/7/,603840,137
/entertainment/game-of-thrones-everything-we-learned-from-the-new-images.html/8/,603840,137
/entertainment/game-of-thrones-what-really-happened-to-jon-snow.html/,563287,137
/entertainment/game-of-thrones-whats-coming-next-in-season-6.html/,583407,137
/entertainment/game-of-thrones-whats-coming-next-in-season-6.html/2/,583407,137
/entertainment/game-of-thrones-whats-coming-next-in-season-6.html/3/,583407,137
/entertainment/groundhog-day-5-reasons-to-watch-this-classic-movie.html/?a=viewall,600869,137
/entertainment/how-marvels-agents-of-shield-improved-with-age.html/2/,525179,137
/entertainment/how-stephen-king-is-about-to-take-over-tv.html/?a=viewall,541988,137
/entertainment/how-the-100′-quietly-became-the-cws-best-show.html/?a=viewall,515851,137
/entertainment/how-to-get-your-star-wars-fix-before-the-force-awakens.html/?a=viewall,529658,137
/entertainment/how-to-watch-a-movie-online.html/?a=viewall,548894,137
/entertainment/hugh-jackman-continues-hollywoods-biblical-focus.html/?a=viewall,524786,137
/entertainment/into-the-badlands-inside-the-pilot-of-amcs-new-series.html/?a=viewall,580257,137
/entertainment/is-lucasfilm-planning-a-live-action-star-wars-tv-series.html/?a=viewall,600110,137
/entertainment/is-playstation-now-really-worth-it-for-gamers.html/?ref=YF&ref=yfp,599287,137
/entertainment/is-young-elites-the-next-ya-film-hit.html/?a=viewall,528451,137
/entertainment/legends-of-tomorrow-5-previous-roles-from-the-shows-cast.html/,601308,137
/entertainment/legends-of-tomorrow-the-fascinating-story-behind-caity-lotz.html/2/,599928,137
/entertainment/like-it-or-not-here-comes-the-blade-runner-sequel.html/?a=viewall,530241,137
/entertainment/listen-up-wiseguys-10-mafia-movies-that-made-their-mark.html/6/,450789,137
/entertainment/lucifer-will-this-be-foxs-next-hit-series.html/?a=viewall,599297,137
/entertainment/luke-cage-will-marvel-strike-netflix-gold-again.html/2/,586012,137
/entertainment/mark-wahlberg-may-play-real-life-hero-in-patriots-day.html/?a=viewall,525159,137
/entertainment/marvel-vs-dc-what-makes-them-different-and-which-is-better.html/,476985,137
/entertainment/marvels-new-spider-man-7-things-to-know-about-tom-holland.html/?a=viewall,543871,137
/entertainment/masters-of-sex-everything-you-need-to-know-to-catch-up.html/?a=viewall,556868,137
/entertainment/meet-the-9-new-game-of-thrones-actors.html/?a=viewall,474159,137
/entertainment/modern-country-music-does-it-have-a-future-or-will-it-fail.html/?a=viewall,555373,137
/entertainment/movies/here-are-the-movies-and-tv-shows-leaving-netflix-on-january-1.html/?a=viewall,445359,137
/entertainment/music/8-great-hard-rock-bob-dylan-covers.html/,451219,137
/entertainment/nbc-channeling-big-bang-theory-with-real-genius-reboot.html/?a=viewall,485661,137
/entertainment/nerds-rejoice-alan-tudyk-and-nathan-fillion-are-coming-back.html/?a=viewall,518960,137
/entertainment/netflix-12-new-original-tv-shows-premiering-in-2016.html/,590443,137
/entertainment/netflix-7-wes-craven-movies-you-can-watch-right-now.html/?a=viewall,559272,137
/entertainment/netflix-new-releases-39-movies-and-tv-shows-coming-in-july.html/?a=viewall,544548,137
/entertainment/netflix-new-releases-47-movies-and-tv-shows-coming-in-february.html/?a=viewall,599117,137
/entertainment/netflix-new-releases-49-movies-and-tv-shows-coming-in-october.html/?a=viewall,567317,137
/entertainment/netflix-will-take-on-stranger-things-in-new-supernatural-drama.html/?a=viewall,556957,137
/entertainment/netflixs-narcos-can-it-fill-your-breaking-bad-void.html/?a=viewall,548450,137
/entertainment/new-jennifer-lawrence-film-to-mimic-silver-linings-playbook.html/?a=viewall,495810,137
/entertainment/nintendo-nx-rumors-everything-we-know-so-far.html/,599429,137
/entertainment/now-on-netflix-4-unforgettable-military-tv-mini-series.html/?a=viewall,578818,137
/entertainment/oh-that-guy-6-of-the-best-actors-youve-probably-never-heard-of.html/?a=viewall,568154,137
/entertainment/one-million-moms-put-out-petition-against-foxs-lucifer.html/?a=viewall,539565,137
/entertainment/oprahs-14-most-expensive-favorite-things.html/?a=viewall,492787,137
/entertainment/oscars-2016-the-biggest-nomination-snubs.html/,595844,137
/entertainment/oscars-2016-the-biggest-nomination-snubs.html/2/,595844,137
/entertainment/playstation-4-what-you-can-expect-from-sony-in-2016.html/?ref=YF,597579,137
/entertainment/playstation-4-what-you-can-expect-from-sony-in-2016.html/2/,597579,137
/entertainment/playstation-4-what-you-can-expect-from-sony-in-2016.html/3/,597579,137
/entertainment/power-rangers-reboot-everything-we-know-and-dont-know.html/?ref=YF,532151,137
/entertainment/quentin-tarantino-the-secret-links-between-all-of-his-movies.html/,597839,137
/entertainment/rainbow-six-siege-what-it-gets-right-wrong-and-what-it-can-fix.html/?a=viewall,587881,137
/entertainment/razzie-awards-5-contenders-for-worst-picture-of-2015.html/?a=viewall,595425,137
/entertainment/reese-witherspoon-to-play-psycho-astronaut.html/?a=viewall,535177,137
/entertainment/sharp-objects-tv-show-may-be-darker-than-true-detective.html/?a=viewall,506304,137
/entertainment/should-you-buy-resident-evil-zero-hd-remaster.html/?a=viewall,598109,137
/entertainment/star-trek-3′-everything-we-know-and-dont-know.html/,544159,137
/entertainment/star-trek-3′-everything-we-know-and-dont-know.html/2/,544159,137
/entertainment/star-trek-3′-everything-we-know-and-dont-know.html/3/,544159,137
/entertainment/star-trek-everything-we-know-about-the-new-tv-series.html/,576050,137
/entertainment/star-wars-controversy-is-george-lucas-out-of-line.html/,582891,137
/entertainment/star-wars-episode-ix-everything-we-know-and-dont-know.html/?a=viewall,564843,137
/entertainment/star-wars-episode-viii-everything-we-know-so-far.html/?ref=YF,561737,137
/entertainment/star-wars-rankings-6-worst-villains-in-the-whole-universe.html/,578865,137
